"Activity Date","Distance in Miles","Activity Type",Comment
2020-09-03,5.39,Run,
2020-09-04,4.03,Run,
2020-09-05,13.7,Run,
2020-09-07,5,Run,
2020-09-09,3.64,Run,
2020-09-08,1.86,Run,
2020-09-11,4.15,Run,
2020-09-10,1.57,Run,
2020-09-12,10.13,Run,
2020-09-15,4.59,Run,
2020-09-16,3.97,Run,
2020-09-19,23.6,Run,
2020-09-21,2.41,Walk,
2020-09-23,3.01,Run,
2020-09-22,1.62,Walk,
2020-09-25,7,Run,
2020-09-26,9.78,Run,
2020-09-27,11.31,Walk,
2020-09-28,5.01,Run,
2020-09-28,1.45,Walk,
2020-09-29,3.32,Walk,
2020-09-30,5.78,Run,
2020-10-01,5.31,Walk,
2020-10-01,5.69,Walk,
2020-10-02,4.55,Run,
2020-10-02,5.5,Walk,
2020-10-03,3.25,Run,
2020-10-03,3.5,Walk,
2020-10-03,1.07,Walk,
2020-10-03,1.07,Walk,
