"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-03,40.3,Run,
2020-10-05,10.13,Run,
2020-10-06,10.14,Run,
2020-10-07,7,Run,
2020-10-08,10.01,Run,
2020-10-09,10.32,Run,
2020-10-10,11.58,Run,
2020-10-12,12.14,Run,
2020-10-13,3.85,Run,
2020-10-13,6.17,Run,
2020-10-13,1.04,Run,
2020-10-14,6,Walk,
2020-10-14,4.01,Run,
2020-10-15,5.01,Run,
2020-10-15,5,Run,"Watch died"
2020-10-16,6.33,Run,
2020-10-17,5.853,Run,
2020-10-17,0.66,Run,
2020-10-17,5.039,Run,
2020-10-18,10.08,Run,
2020-10-19,18,Run,
2020-10-21,10.02,Run,
2020-10-22,11.47,Run,
2020-10-23,5,Run,
2020-10-24,4.87,Walk,
2020-10-25,6.65,Run,
2020-10-26,4.26,Run,
2020-10-27,5,Run,
2020-10-28,7.01,Run,
2020-10-29,5,Walk,
2020-10-30,5.01,Run,
