"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-31,26.3,Run,
2020-11-01,3.52,Walk,
2020-11-01,2,Walk,
2020-11-02,20.2,Walk,
2020-11-03,13.17,Run,
2020-11-03,2.1,Walk,
2020-11-04,20.2,Run,
2020-11-05,13.2,Walk,
2020-11-05,2.11,Walk,
2020-11-06,20.23,Run,
2020-11-07,4.1,Walk,
2020-11-08,31.1,Run,
2020-11-09,10.12,Walk,
2020-11-11,20.12,Walk,
2020-11-12,20.11,Run,
2020-11-13,10.13,Walk,
2020-11-14,10.17,Run,
2020-11-15,31.21,Run,
2020-11-16,10.12,Walk,
2020-11-16,2.12,Walk,
2020-11-17,20.1,Run,
2020-11-10,24.6,Run,
2020-11-18,10.1,Walk,
2020-11-19,20.1,Run,"20 mile PR post-busted foot
All pavement/concrete"
2020-11-20,5.28,Walk,"Didn't Strava this because I was charging my Coros at home."
2020-11-21,26.3,Run,
2020-11-22,10.1,Run,
2020-11-23,15.3,Walk,
2020-11-24,12.1,Walk,
2020-11-25,15.1,Run,
2020-11-26,5.1,Walk,
2020-11-27,10.1,Walk,
2020-11-27,5.12,Walk,
2020-11-28,31.1,Run,
2020-11-29,1.53,Walk,
2020-11-29,10,Run,"Maiden Treadmill Voyage
Sub 9:00 , two 1/4 mile splits
No pain"
2020-11-30,6.23,Treadmill,Run
2020-11-30,6.24,Treadmill,Walk
2020-11-30,6.22,Treadmill,Run
