"Activity Date","Distance in Miles","Activity Type",Comment
2021-07-30,3.6,Walk,
2021-07-31,16.88,Run,
2021-07-31,6.1,Walk,
2021-08-01,7.6,Walk,
2021-08-02,14.02,Run,
2021-08-02,9.03,Run,"This one is for you Connie. Thank you for all that you do for our team!"
2021-08-02,2.5,Walk,
2021-08-03,10.1,Run,
2021-08-04,7.33,Run,
2021-08-03,2.1,Walk,
2021-08-04,5.7,Walk,
2021-08-05,10.01,Run,
2021-08-05,5.4,Walk,
2021-08-06,4.2,Walk,
2021-08-07,9.35,Run,
2021-08-07,8.1,Walk,
2021-08-08,6.4,Walk,
2021-08-09,6.02,Run,
2021-08-10,5.5,Walk,
2021-08-11,10.02,Run,
2021-08-11,4.02,Run,
2021-08-11,2.3,Walk,
2021-08-12,7.71,Run,
2021-08-12,3.6,Walk,
2021-08-13,3.13,Run,WU
2021-08-13,3.05,Run,
2021-08-13,1.33,Run,CD
2021-08-14,2.02,Run,
2021-08-14,3.08,Run,
2021-08-14,7.01,Run,
2021-08-13,6.9,Walk,
2021-08-14,4.3,Walk,
2021-08-15,10.02,Run,
2021-08-15,5.8,Walk,
2021-08-16,7.71,Run,
2021-08-16,6.6,Walk,
2021-08-17,6.11,Run,
2021-08-17,4.7,Walk,
2021-08-18,5.1,Walk,
2021-08-19,11.05,Walk,
2021-08-20,8.02,Run,
2021-08-19,6.6,Walk,
2021-08-20,2.1,Walk,
2021-08-21,5.9,Walk,
2021-08-22,15.11,Run,
2021-08-22,5.1,Walk,
2021-08-23,4.8,Walk,
