"Activity Date","Distance in Miles","Activity Type",Comment
2021-02-22,3.9,Walk,
2021-02-23,8.12,Walk,
2021-02-24,7.43,Walk,
2021-02-25,8.1,Walk,
2021-02-26,6.11,Walk,
2021-02-27,8.11,Walk,
2021-02-28,5.15,Walk,
2021-03-01,9.2,Walk,
2021-03-02,8.64,Walk,
2021-03-03,9.22,Walk,
2021-03-04,7.24,Walk,
2021-03-05,6.41,Walk,
2021-03-06,8.6,Walk,
2021-03-06,7.6,Walk,
2021-03-07,7.43,Walk,
2021-03-08,8.62,Walk,
2021-03-09,8.7,Walk,
2021-03-10,7.9,Walk,
2021-03-11,9.44,Walk,
2021-03-12,8.59,Walk,
2021-03-13,6.62,Walk,
2021-03-14,5.47,Walk,"Forrest Gump 5K plus sweeping duties"
2021-03-16,6.65,Walk,
2021-03-17,8.62,Walk,
2021-03-18,6.26,Walk,
