"Activity Date","Distance in Miles","Activity Type",Comment
2021-06-20,2.3,Walk,
2021-06-21,10.15,Treadmill,
2021-06-21,2,Walk,
2021-06-22,5.39,Treadmill,
2021-06-22,2.7,Walk,
2021-06-23,2.8,Walk,
2021-06-24,3.5,Walk,
2021-06-25,10.16,Treadmill,
2021-06-25,2.3,Walk,
2021-06-26,6.2,Walk,
2021-06-27,12.35,Treadmill,
2021-06-27,2.4,Walk,
2021-06-28,8.39,Treadmill,
2021-06-28,2.5,Walk,
2021-06-29,10.2,Treadmill,
2021-06-29,3.6,Walk,
2021-06-30,5.1,Walk,
2021-07-01,1.84,Treadmill,
2021-07-01,10.15,Treadmill,
2021-07-01,1.6,Walk,
2021-07-02,2.3,Walk,
2021-07-03,2.85,Walk,
2021-07-04,3.8,Walk,
2021-07-05,4.3,Walk,
2021-07-06,10.26,Treadmill,
2021-07-06,1.3,Walk,
2021-07-07,9.45,Treadmill,
2021-07-07,2.29,Walk,
2021-07-08,12.09,Treadmill,
2021-07-08,1.1,Walk,
2021-07-09,16.19,Treadmill,
2021-07-09,2.1,Walk,
2021-07-10,3.7,Walk,
2021-07-11,16.61,Treadmill,
2021-07-11,2.97,Walk,
2021-07-12,5.21,Treadmill,
2021-07-12,4.2,Walk,"work/home mileage"
2021-07-13,3.1,Walk,
2021-07-14,7.4,Treadmill,
2021-07-14,4.1,Walk,
2021-07-15,6.28,Treadmill,
2021-07-15,3.05,Walk,
2021-07-16,3.7,Walk,
2021-07-17,4.7,Walk,
2021-07-18,15.39,Treadmill,
2021-07-18,1.6,Walk,"Laps with the doggos"
2021-07-19,3.7,Walk,
2021-07-20,10.57,Treadmill,
2021-07-20,3.8,Walk,
2021-07-21,2.74,Walk,
2021-07-22,10.68,Treadmill,
2021-07-22,2.6,Walk,
2021-07-23,3.1,Walk,
2021-07-24,12.38,Treadmill,
2021-07-24,2,Walk,
2021-07-25,8.22,Treadmill,
2021-07-25,2.4,Walk,
2021-07-26,4.6,Treadmill,
2021-07-26,3.7,Walk,
2021-07-27,4.78,Run,
2021-07-27,3,Walk,
2021-07-28,5.04,Treadmill,
2021-07-28,3.7,Walk,
2021-07-29,2.55,Walk,
