"Activity Date","Distance in Miles","Activity Type",Comment
2020-12-31,8.37,Treadmill,
2020-12-31,5.54,Treadmill,
2021-01-01,3.13,Run,
2021-01-01,6.25,Run,
2021-01-01,7.23,Walk,
2021-01-01,1.6,Walk,
2021-01-02,26.3,Run,
2021-01-02,1.3,Walk,
2021-01-03,13.2,Run,"Dopey Challenge, Part 4
1/2 Marathon"
2021-01-04,3.14,Treadmill,
2021-01-04,6.22,Run,
2021-01-04,8.06,Treadmill,
2021-01-05,8.05,Run,
2021-01-05,10.23,Treadmill,
2021-01-05,1.5,Walk,
2021-01-06,10.12,Run,
2021-01-06,7.01,Walk,
2021-01-06,1.8,Walk,
2021-01-07,9.09,Run,
2021-01-07,2.05,Walk,
2021-01-08,9.09,Run,
2021-01-08,6.32,Walk,
2021-01-09,13.2,Run,
2021-01-08,2.7,Walk,
2021-01-09,7.06,Walk,
2021-01-09,2.08,Walk,
2021-01-10,5.76,Walk,
2021-01-10,11.9,Walk,
2021-01-11,8.25,Run,
2021-01-11,8.34,Treadmill,
2021-01-12,6.26,Run,
2021-01-12,8.29,Run,
2021-01-12,2.25,Walk,"Round the block with the kiddo"
2021-01-13,6.25,Run,
2021-01-13,8.72,Run,
2021-01-13,2.7,Walk,"Around the block with the boy"
2021-01-14,6.77,Run,
2021-01-14,10.15,Run,
2021-01-15,6.02,Run,
2021-01-15,8.83,Run,
2021-01-16,18.1,Run,
2021-01-17,5.05,Run,
2021-01-17,6.11,Run,
2021-01-17,2.8,Walk,
2021-01-18,12.41,Treadmill,
2021-01-19,8.17,Treadmill,
2021-01-20,5.57,Treadmill,
2021-01-20,10.2,Treadmill,
2021-01-21,6.39,Treadmill,
2021-01-21,10.91,Treadmill,
2021-01-22,7.61,Treadmill,
2021-01-22,6.54,Treadmill,
2021-01-23,7.16,Treadmill,
2021-01-23,7.2,Treadmill,
2021-01-23,2.3,Walk,"Round the neighborhood with the boy"
2021-01-24,9.43,Treadmill,
2021-01-24,2.9,Walk,"Walking around the neighborhood with my son."
2021-01-24,7.67,Treadmill,
2021-01-25,7.35,Treadmill,
2021-01-25,10.33,Treadmill,
2021-01-25,3.24,Walk,"Walking the block few times with my son"
2021-01-26,4.64,Treadmill,"This completes Region 5: Down Under!"
