"Activity Date","Distance in Miles","Activity Type",Comment
2020-11-30,6.04,Treadmill,Run
2020-11-30,10.01,Treadmill,Run
2020-12-01,10.44,Treadmill,
2020-12-01,3.56,Treadmill,
2020-12-02,3.55,Treadmill,
2020-12-02,10.01,Treadmill,
2020-12-04,10.02,Treadmill,
2020-12-06,24,Run,
2020-12-12,42.1,Treadmill,
2020-12-14,57.9,Treadmill,"Dreadmill 48 Hour Endurance Challenge 100 Miler complete!

CONGRATULATIONS Micha! 

~ Team Jesper"
2020-12-17,5,Treadmill,
2020-12-18,10,Treadmill,
2020-12-19,12,Treadmill,
2020-12-21,6,Treadmill,
2020-12-23,5,Treadmill,
2020-12-30,1,Walk,"Partial dog walk/jog"
2020-12-31,3,Run,
