"Activity Date","Distance in Miles","Activity Type",Comment
2021-01-27,1.98,Walk,
2021-01-30,2.66,Walk,
2021-01-31,0.62,Walk,
2021-02-02,1.24,Walk,
2021-02-07,1.68,Walk,
2021-02-08,4.6,Walk,
2021-02-08,2.61,Walk,
2021-02-09,1.31,Walk,
2021-02-09,1.61,Walk,
2021-02-09,0.82,Walk,
2021-02-09,1.39,Walk,
2021-02-10,1.35,Walk,
2021-02-11,0.79,Walk,
2021-02-12,4.86,Walk,
2021-02-13,0.58,Walk,
2021-02-13,0.23,Walk,
2021-02-13,1.34,Walk,
2021-02-15,3.12,Walk,
2021-02-15,3.11,Walk,
2021-02-18,1.38,Walk,
2021-02-20,8.32,Walk,
2021-02-20,0.38,Walk,
2021-02-21,0.83,Walk,
2021-02-21,0.57,Walk,
