"Activity Date","Distance in Miles","Activity Type",Comment
2021-05-16,18.01,Run,
2021-05-16,12.45,Walk,"Dog walk with girls"
2021-05-17,3.55,Walk,"Dog walk. Busy busy day! Senior week has started!"
2021-05-18,4.55,Run,
2021-05-18,3.42,Walk,"Dog walk"
2021-05-19,4.02,Run,
2021-05-19,3.45,Walk,"Dog walk"
2021-05-22,12.45,Run,
2021-05-22,7.21,Walk,"Dog walk"
2021-05-24,5.97,Run,
2021-05-24,4.45,Walk,"Heat training!"
2021-05-24,2.49,Walk,"Dog walk"
2021-05-25,8.89,Run,"Heat training to pick up car"
2021-05-25,5.05,Walk,"Dog walk with girls!"
2021-05-26,8.01,Run,
2021-05-26,4.21,Walk,"Dog walk with girls"
2021-05-27,3.12,Run,
2021-05-27,3.25,Walk,"Dog walk before the rain!"
2021-06-02,26.45,Run,
2021-06-02,8.02,Walk,"Dog walk yesterday with girls.  Forgot to add"
2021-06-04,6.45,Run,
2021-06-04,6.45,Walk,"Dog walk with girls"
2021-06-05,9.45,Run,
2021-06-05,4.78,Walk,"Dog walk with girls"
2021-06-06,6.66,Run,
2021-06-06,4.1,Walk,"Dog walk"
2021-06-09,16.23,Run,
2021-06-09,7.69,Walk,
2021-06-11,8.45,Run,
2021-06-11,4.89,Walk,"Dog walk with the family! Heat training"
2021-06-12,9.98,Run,"Really hot"
2021-06-12,3.45,Walk,"Dog walk cool down with girls"
2021-06-14,7.55,Run,
2021-06-14,6.32,Walk,"Heat training final prep!"
2021-06-15,5.02,Walk,"Easy walk with dogs shaking out my nerves"
2021-06-17,47,Run,"HOTS
Day 1"
2021-06-18,47.12,Run,"HOTS
Day 2
(Cumulative: 94.12)"
