"Activity Date","Distance in Miles","Activity Type",Comment
2020-11-30,7.1,Treadmill,Run
2020-12-01,13.2,Treadmill,
2020-12-02,9.32,Run,
2020-12-02,3.78,Walk,
2020-12-02,7.1,Treadmill,
2020-12-03,10.02,Treadmill,
2020-12-04,6.1,Run,
2020-12-04,10.1,Treadmill,Run
2020-12-05,5,Treadmill,Run
2020-12-05,10.15,Run,
2020-12-05,1.28,Walk,
2020-12-05,3.74,Run,
2020-12-06,10.1,Treadmill,Run
2020-12-06,2.55,Run,
2020-12-06,10.16,Run,
2020-12-07,3.06,Run,
2020-12-07,10.01,Treadmill,Run
2020-12-08,15.14,Treadmill,
2020-12-09,2.07,Run,
2020-12-09,5,Treadmill,
2020-12-09,5,Treadmill,
2020-12-10,5.08,Run,
2020-12-10,8,Treadmill,Run
2020-12-10,2.11,Treadmill,
2020-12-11,11.02,Treadmill,
2020-12-12,21.57,Treadmill,
2020-12-13,8.7,Treadmill,
2020-12-13,23.5,Treadmill,
2020-12-14,9.3,Treadmill,
2020-12-15,2.3,Run,"Hailing outside!"
2020-12-15,8.84,Treadmill,
2020-12-16,1.65,Treadmill,
2020-12-16,10.1,Treadmill,
2020-12-17,10.08,Treadmill,
2020-12-18,6,Run,
2020-12-18,2.37,Treadmill,
2020-12-18,2.2,Treadmill,
2020-12-18,2.67,Treadmill,
2020-12-18,3.04,Treadmill,
2020-12-19,1.76,Treadmill,
2020-12-19,2.57,Treadmill,
2020-12-19,2.34,Treadmill,
2020-12-19,3.5,Treadmill,
2020-12-19,3.07,Treadmill,
2020-12-19,3.05,Treadmill,
2020-12-19,3.04,Treadmill,
2020-12-19,3.61,Treadmill,
2020-12-19,2.89,Treadmill,Run
2020-12-19,1.7,Treadmill,Run
2020-12-19,2.6,Treadmill,Run
2020-12-19,2.3,Treadmill,Run
2020-12-19,3.5,Treadmill,Run
2020-12-20,2.7,Treadmill,Run
2020-12-20,2.6,Treadmill,Run
2020-12-20,2.7,Treadmill,Run
2020-12-20,2.6,Treadmill,Run
2020-12-20,2.7,Treadmill,Run
2020-12-20,2.8,Treadmill,
2020-12-20,2.5,Treadmill,Run
2020-12-20,2.4,Treadmill,Run
2020-12-21,2.6,Treadmill,Run
2020-12-21,2.7,Treadmill,Run
2020-12-21,2.3,Treadmill,Run
2020-12-22,2.6,Treadmill,"Kauai Half-Mararhon, part 2"
2020-12-22,2.7,Treadmill,"Kauai Half-Mararhon, part 3"
2020-12-22,2.3,Treadmill,"Kauai Half-Marathon, part 4"
2020-12-22,2.3,Treadmill,
2020-12-22,2.9,Treadmill,
2020-12-22,3.1,Treadmill,
2020-12-23,6.2,Treadmill,"Imperial.Palace Pillar, 10k, Tokyo"
2020-12-23,3,Treadmill,"More fun in Tokyo"
2020-12-23,5.5,Treadmill,"Fujikawaguchiko Pillar Run,"
2020-12-23,2.3,Treadmill,
2020-12-24,3.4,Treadmill,"Santa Run"
2020-12-24,3,Treadmill,"Santa Shuffle 5k 
Santa Run#2"
2020-12-24,2.6,Run,"Great Smoky Mountains Half, part 1"
2020-12-24,2.6,Run,"Great Smoky Mountains Half, part 1 repeated"
2020-12-24,2.7,Treadmill,"Great Smoky Mountains Half, part 2"
2020-12-25,3,Treadmill,"Great Smoky Mountains Half,
part 3"
2020-12-25,2.2,Treadmill,"Great Smoky Mountains Half,
part 4"
2020-12-25,5.4,Treadmill,"Shinjuku Station Recovery Run, Tokyo"
2020-12-25,3.5,Treadmill,"Great Smoky Mountains Half,.part 5"
2020-12-26,21.4,Treadmill,"Atoka,TN"
2020-12-27,10.3,Treadmill,"Cascais Foundation Workout, Portugal"
2020-12-27,6.04,Treadmill,"I am LAZY! Could not get to 20, nor did I want to.  Beer and popcorn won!"
2020-12-29,13.1,Treadmill,"Caparica Boardwalk Foundation, Portugal"
2020-12-29,7.26,Treadmill,
2020-12-30,5.1,Treadmill,
2020-12-30,10.16,Treadmill,
