"Activity Date","Distance in Miles","Activity Type",Comment
2020-11-02,5.31,Run,"Cherokee veterans park"
2020-11-03,10.86,Run,"Cherokee veterans park loops"
2020-11-05,6.4,Run,"Mcm trifecta - 10k"
2020-11-06,31.11,Run,"MCM Trifecta#2: 50K 
PR by 14 minutes
4:58:57
9:37 avg pace"
2020-11-06,0.33,Walk,
2020-11-07,26.25,Run,"MCM Trifecta #3"
2020-11-09,6.28,Run,"Treadmill and neighborhood jog"
2020-11-10,17.75,Run,"Marine Corps Birthday Run"
2020-11-11,7.13,Run,"Neighborhood run"
2020-11-12,8,Run,"Harmony at the Lakes run."
2020-11-15,4.56,Run,"Family hike"
2020-11-16,3.14,Run,"Morning treadmill warmup"
2020-11-17,13.57,Run,"Treadmill. Finishing the last 13 miles for my 2000 mile goal for 2020."
2020-11-16,5.32,Run,"Trying to find and connect a new trail to an old one (failed)"
2020-11-18,10.01,Run,Treadmill
2020-11-21,5.02,Run,
2020-11-22,4,Run,
2020-11-23,6.01,Run,
2020-11-24,5,Run,
2020-11-25,12.73,Run,"Treadmill/running/treadmill / more running"
2020-11-28,20.03,Run,Treadmill
2020-11-29,18.01,Run,Treadmill
2020-11-30,10.01,Run,
