"Activity Date","Distance in Miles","Activity Type",Comment
2020-09-01,10.12,Run,"Link to Activity - https://www.strava.com/activities/3995649881"
2020-09-02,8.12,Run,"Link to activity - https://www.strava.com/activities/4000730331"
2020-09-03,10.05,Run,"Link to activity - https://www.strava.com/activities/4005233257"
2020-09-06,3,Walk,"Link to activity - https://www.strava.com/activities/4021433368"
2020-09-05,7.5,Run,"Link to activity"
2020-09-06,2.25,Walk,"Link to activity"
2020-09-07,13.1,Run,"Run with Norm WIlliams"
2020-09-08,6,Walk,"Link to activity"
2020-09-09,8.06,Run,https://www.strava.com/activities/4034232512
2020-09-10,10.04,Run,"Link to activity - https://www.strava.com/activities/4038997602"
2020-09-12,8.2,Run,"Link to activity - https://www.strava.com/activities/4048457659"
2020-09-16,10,Run,https://www.strava.com/activities/4067970661
2020-09-15,10,Run,https://www.strava.com/activities/4062916520
2020-09-17,4.14,Run,https://www.strava.com/activities/4072596862
2020-09-18,7.01,Run,https://www.strava.com/activities/4077694086
2020-09-17,1,Run,
2020-09-19,10,Run,https://www.strava.com/activities/4082152838
2020-09-20,4.22,Run,https://www.strava.com/activities/4087227640
2020-09-20,0.59,Walk,https://www.strava.com/activities/4084938385
2020-09-20,1.26,Walk,https://www.strava.com/activities/4090443837
2020-09-22,10,Run,https://www.strava.com/activities/4096374024
2020-09-22,3,Walk,"Treadmill walk"
2020-09-21,0.5,Walk,https://www.strava.com/activities/4094945891
2020-09-23,10,Run,"Link to activity"
2020-09-23,0.94,Walk,"https://www.strava.com/activities/4101327962
https://www.strava.com/activities/4101327927"
2020-09-23,2,Walk,"Link to activity - https://www.strava.com/activities/4105887766"
2020-09-24,1.57,Walk,"Link to activity - https://www.strava.com/athletes/8138686"
2020-09-24,8,Walk,"Treadmill https://www.strava.com/activities/4108729373"
2020-09-24,1.98,Walk,"https://www.strava.com/activities/4108719984
https://www.strava.com/activities/4108719938"
2020-09-25,5,Walk,https://www.strava.com/activities/4111756638?utm_source=org.thoughtcrime.securesms&utm_medium=referral
2020-09-26,10,Run,https://www.strava.com/activities/4114791083
2020-09-25,1.1,Walk,https://www.strava.com/activities/4112443934
2020-09-26,1,Run,https://www.strava.com/activities/4117093406
2020-09-27,4,Run,https://www.strava.com/activities/4118907200
2020-09-27,1,Walk,https://www.strava.com/activities/4122164524
2020-09-29,10,Run,https://www.strava.com/activities/4127694913
2020-09-28,1.99,Walk,https://www.strava.com/activities/4126306344
2020-09-28,4,Walk,https://www.strava.com/activities/4127948116
2020-09-30,10,Run,https://www.strava.com/activities/4132354883
2020-09-30,1.09,Walk,"Walk - https://www.strava.com/activities/4131073145"
2020-10-01,10,Run,https://www.strava.com/activities/4136818131
2020-09-30,1.32,Walk,https://www.strava.com/activities/4135441712
2020-10-02,4,Walk,https://www.strava.com/activities/4142227825
2020-10-02,0.73,Walk,https://www.strava.com/activities/4141056587
2020-10-01,0.68,Walk,https://www.strava.com/activities/4139814009
2020-10-03,8,Run,https://www.strava.com/activities/4145550894
2020-10-05,4.19,Run,
