"Activity Date","Distance in Miles","Activity Type",Comment
2021-02-22,13.1,Run,
2021-02-23,8.01,Run,
2021-02-23,4,Run,
2021-02-24,3,Walk,
2021-02-24,4.3,Run,
2021-02-24,1.5,Walk,
2021-02-25,5.01,Run,
2021-02-25,4.04,Run,
2021-02-25,3,Walk,
2021-02-26,20.1,Run,
2021-02-27,1,Walk,
2021-02-28,9.16,Run,
2021-03-01,8.5,Run,
2021-03-01,2.01,Walk,
2021-03-02,7.5,Run,
2021-03-02,4,Run,
2021-03-03,7.01,Run,
2021-03-03,6.01,Run,
2021-03-04,8,Run,
2021-03-05,4,Run,
2021-03-05,4.01,Run,
2021-03-06,20.01,Run,
2021-03-08,8.73,Run,
2021-03-08,4,Run,
2021-03-09,12.03,Run,"Total miles for the day."
2021-03-10,4.03,Run,
2021-03-10,4.5,Run,
2021-03-11,2.5,Run,
2021-03-11,5,Run,
2021-03-12,6.2,Run,
2021-03-13,5,Walk,
2021-03-14,12.1,Run,
2021-03-15,5,Walk,"Easy start to week before huge finish on the weekend."
2021-03-16,4,Run,
2021-03-17,6,Run,
2021-03-18,6,Run,
2021-03-19,1,Walk,
